Year,Month,Day,Hour
1992,1,23,15
1992,4,13,2
1992,8,20,5
1992,5,30,7
1992,12,5,4
1992,6,17,13
1992,7,23,24
1992,10,16,15
2001,11,12,23
2001,2,11,22
2001,6,9,9
2001,5,18,8
2001,4,23,6
2001,3,26,17
2001,8,12,21
1998,12,1,14
1998,11,25,2
1998,6,30,3
1998,3,27,9
1998,8,16,21
2005,2,14,20
2005,5,18,1
2005,9,23,7
2005,6,21,8
2012,5,26,4
2012,2,28,5
2012,12,25,6
2012,1,7,21
2012,11,8,24
2012,3,4,1
2015,2,5,6
2015,6,12,17
2015,8,14,19
2015,3,20,23
2015,9,21,20
2015,4,26,5
2015,6,30,3
2015,2,27,7
2003,3,21,8
2003,5,24,14
2003,6,17,12
2003,7,18,11
2003,4,13,10
2003,3,11,9
2003,9,21,5
2016,11,26,2
2016,4,28,17
2016,6,21,14
2016,4,25,15
2016,5,14,12
2016,3,12,4
2016,12,17,7
2016,9,18,2
2016,8,12,9
1999,5,19,4
1999,2,21,3
1999,3,4,12
1999,4,3,15
1999,5,4,14
1999,8,6,15
1999,9,21,17
1999,1,2,13
1999,11,10,19
1999,12,25,16
1993,5,28,13
1993,8,21,4
1993,2,15,2
1993,12,7,6
1993,11,17,3
1993,4,18,3
1993,9,12,2
1993,7,11,4
1993,5,16,5
1993,3,18,8
2009,1,14,7
2009,2,26,4
2009,3,26,12
2009,4,23,13
2009,5,25,14
2009,6,5,15
2008,7,3,18
2008,8,16,21
2008,9,18,20
2008,10,12,23
2008,11,14,5
2008,12,21,2
2012,1,25,1
2012,2,26,9
2012,3,27,7
2012,4,28,16
2012,5,21,17
1997,6,23,12
1997,7,12,13
1997,8,14,19
1997,9,15,16
